token	active_ref_file
data/source_archive	.gitignore
data/source_archive	scripts/xml_recovery/audit_google_xml_extraction.sh
data/source_archive	scripts/xml_recovery/materialize_ooxml_raw.py
data/source_archive	scripts/ingestion/google_drive/archive-google-docs-by-local-names.mjs
secrets/	.gitignore
secrets/	scripts/ingestion/google_drive/archive-google-docs-by-local-names.mjs
secrets/	src/data-layer/ingestion-buffer/readme_docs/tier_1_core/160__PROJECT_HANDOFF_COMPLETE_CONTEXT-2.md
secrets/	src/services/orchestration-engine/google-swarm.ts
secrets	.gitignore
secrets	scripts/perfect_weight/00_generate_perfection_scripts.py
secrets	scripts/perfect_weight/06_supabase_snapshot.sh
secrets	scripts/ingestion/google_drive/archive-google-docs-by-local-names.mjs
secrets	scripts/ingestion/google_drive/extract_deep_history.py
secrets	.github/workflows/deploy-supabase-functions-only.yml
secrets	src/data-layer/ingestion-buffer/readme_docs/tier_1_core/026__AI_CHECKPOINT_FINAL.txt
secrets	src/data-layer/ingestion-buffer/readme_docs/tier_1_core/031__AI_READY_CHECKPOINT.txt
secrets	src/data-layer/ingestion-buffer/readme_docs/tier_1_core/029__AI_INFORMATION_INTUITION.md
secrets	src/data-layer/ingestion-buffer/readme_docs/tier_1_core/160__PROJECT_HANDOFF_COMPLETE_CONTEXT-2.md
secrets	src/data-layer/ingestion-buffer/readme_docs/tier_1_core/014__Writing_Agent_App._Source_Doc._(8)_[COMBINED]_(1).txt
secrets	src/data-layer/ingestion-buffer/readme_docs/tier_2_large_universal/134__NOS_INTEGRATION_BLUEPRINT.txt
secrets	src/services/orchestration-engine/google-swarm.ts
